17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER 240: d0 = 0.516; d1 = 0.756; d2 = 0.870; PPLX 2^6.84 = 114.4
ITER 241: d0 = 0.679; d1 = 0.777; d2 = 0.881; PPLX 2^6.84 = 114.7
ITER 242: d0 = 0.628; d1 = 0.753; d2 = 0.872; PPLX 2^6.84 = 114.4
ITER 243: d0 = 0.543; d1 = 0.773; d2 = 0.882; PPLX 2^6.84 = 114.7
ITER 244: d0 = 0.648; d1 = 0.749; d2 = 0.867; PPLX 2^6.84 = 114.2
ITER 245: d0 = 0.576; d1 = 0.743; d2 = 0.880; PPLX 2^6.84 = 114.4
ITER 246: d0 = 0.633; d1 = 0.767; d2 = 0.880; PPLX 2^6.84 = 114.5
ITER 247: d0 = 0.597; d1 = 0.765; d2 = 0.877; PPLX 2^6.84 = 114.5
ITER 248: d0 = 0.690; d1 = 0.755; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 249: d0 = 0.527; d1 = 0.767; d2 = 0.887; PPLX 2^6.84 = 114.7
ITER 250: d0 = 0.556; d1 = 0.733; d2 = 0.882; PPLX 2^6.84 = 114.5
ITER 251: d0 = 0.519; d1 = 0.776; d2 = 0.865; PPLX 2^6.84 = 114.5
ITER 252: d0 = 0.529; d1 = 0.780; d2 = 0.880; PPLX 2^6.84 = 114.7
ITER 253: d0 = 0.620; d1 = 0.755; d2 = 0.881; PPLX 2^6.84 = 114.5
ITER 254: d0 = 0.613; d1 = 0.769; d2 = 0.871; PPLX 2^6.84 = 114.4
ITER 255: d0 = 0.537; d1 = 0.763; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 256: d0 = 0.611; d1 = 0.778; d2 = 0.870; PPLX 2^6.84 = 114.5
ITER 257: d0 = 0.649; d1 = 0.781; d2 = 0.867; PPLX 2^6.84 = 114.5
ITER 258: d0 = 0.587; d1 = 0.744; d2 = 0.882; PPLX 2^6.84 = 114.4
ITER 259: d0 = 0.607; d1 = 0.766; d2 = 0.872; PPLX 2^6.84 = 114.5
ITER 260: d0 = 0.539; d1 = 0.767; d2 = 0.881; PPLX 2^6.84 = 114.6
ITER 261: d0 = 0.569; d1 = 0.757; d2 = 0.872; PPLX 2^6.84 = 114.4
ITER 262: d0 = 0.627; d1 = 0.746; d2 = 0.882; PPLX 2^6.84 = 114.5
ITER 263: d0 = 0.587; d1 = 0.762; d2 = 0.871; PPLX 2^6.84 = 114.4
ITER 264: d0 = 0.700; d1 = 0.766; d2 = 0.880; PPLX 2^6.84 = 114.6
ITER 265: d0 = 0.546; d1 = 0.767; d2 = 0.870; PPLX 2^6.84 = 114.4
ITER 266: d0 = 0.655; d1 = 0.773; d2 = 0.883; PPLX 2^6.84 = 114.7
ITER 267: d0 = 0.548; d1 = 0.735; d2 = 0.875; PPLX 2^6.84 = 114.3
ITER 268: d0 = 0.563; d1 = 0.775; d2 = 0.885; PPLX 2^6.84 = 114.8
ITER 269: d0 = 0.597; d1 = 0.770; d2 = 0.882; PPLX 2^6.84 = 114.7
ITER 270: d0 = 0.583; d1 = 0.757; d2 = 0.880; PPLX 2^6.84 = 114.5
ITER 271: d0 = 0.531; d1 = 0.765; d2 = 0.876; PPLX 2^6.84 = 114.5
ITER 272: d0 = 0.588; d1 = 0.766; d2 = 0.885; PPLX 2^6.84 = 114.7
ITER 273: d0 = 0.537; d1 = 0.756; d2 = 0.867; PPLX 2^6.84 = 114.3
ITER 274: d0 = 0.517; d1 = 0.739; d2 = 0.880; PPLX 2^6.84 = 114.4
ITER 275: d0 = 0.615; d1 = 0.754; d2 = 0.877; PPLX 2^6.84 = 114.4
