1161192 dom0, 360634 dom1 train, 39534 dom1 test
58715 unique words

*** BASELINE hpylm ***
136395 restaurants created
204.452kB of test data
ITER  20: l0=0.207; l1=0.244; l2=0.420; l0=0.036; l1=0.326; l2=0.540; PPLX 2^7.57 = 189.7
ITER  21: l0=0.206; l1=0.243; l2=0.420; l0=0.035; l1=0.327; l2=0.538; PPLX 2^7.56 = 188.3
ITER  22: l0=0.208; l1=0.243; l2=0.417; l0=0.037; l1=0.328; l2=0.538; PPLX 2^7.55 = 187.0
ITER  23: l0=0.202; l1=0.239; l2=0.419; l0=0.034; l1=0.329; l2=0.541; PPLX 2^7.56 = 188.8
ITER  24: l0=0.195; l1=0.239; l2=0.417; l0=0.037; l1=0.327; l2=0.541; PPLX 2^7.54 = 186.7
ITER  25: l0=0.199; l1=0.237; l2=0.416; l0=0.034; l1=0.327; l2=0.541; PPLX 2^7.55 = 187.4
ITER  26: l0=0.204; l1=0.236; l2=0.415; l0=0.035; l1=0.328; l2=0.542; PPLX 2^7.56 = 188.9
ITER  27: l0=0.183; l1=0.236; l2=0.413; l0=0.030; l1=0.329; l2=0.540; PPLX 2^7.55 = 186.8
ITER  28: l0=0.179; l1=0.234; l2=0.412; l0=0.026; l1=0.331; l2=0.536; PPLX 2^7.54 = 186.7
ITER  29: l0=0.182; l1=0.234; l2=0.410; l0=0.029; l1=0.332; l2=0.540; PPLX 2^7.55 = 187.9
ITER  30: l0=0.159; l1=0.231; l2=0.413; l0=0.030; l1=0.333; l2=0.542; PPLX 2^7.56 = 188.5
ITER  31: l0=0.172; l1=0.229; l2=0.412; l0=0.029; l1=0.335; l2=0.541; PPLX 2^7.55 = 187.0
ITER  32: l0=0.172; l1=0.228; l2=0.413; l0=0.028; l1=0.333; l2=0.541; PPLX 2^7.56 = 188.1
ITER  33: l0=0.173; l1=0.227; l2=0.414; l0=0.031; l1=0.331; l2=0.543; PPLX 2^7.56 = 188.9
ITER  34: l0=0.180; l1=0.226; l2=0.415; l0=0.027; l1=0.331; l2=0.543; PPLX 2^7.55 = 187.3
ITER  35: l0=0.170; l1=0.225; l2=0.413; l0=0.026; l1=0.332; l2=0.541; PPLX 2^7.54 = 186.6
ITER  36: l0=0.168; l1=0.222; l2=0.413; l0=0.024; l1=0.333; l2=0.542; PPLX 2^7.56 = 188.1
ITER  37: l0=0.173; l1=0.220; l2=0.413; l0=0.026; l1=0.335; l2=0.541; PPLX 2^7.56 = 188.6
ITER  38: l0=0.158; l1=0.218; l2=0.414; l0=0.026; l1=0.335; l2=0.542; PPLX 2^7.56 = 188.4
ITER  39: l0=0.155; l1=0.217; l2=0.411; l0=0.027; l1=0.336; l2=0.538; PPLX 2^7.55 = 187.1
ITER  40: l0=0.165; l1=0.219; l2=0.411; l0=0.022; l1=0.338; l2=0.540; PPLX 2^7.56 = 188.4
ITER  41: l0=0.151; l1=0.220; l2=0.410; l0=0.024; l1=0.339; l2=0.541; PPLX 2^7.55 = 187.7
ITER  42: l0=0.157; l1=0.217; l2=0.410; l0=0.021; l1=0.340; l2=0.540; PPLX 2^7.56 = 188.3
ITER  43: l0=0.156; l1=0.218; l2=0.409; l0=0.023; l1=0.337; l2=0.540; PPLX 2^7.54 = 186.6
ITER  44: l0=0.163; l1=0.216; l2=0.410; l0=0.021; l1=0.341; l2=0.539; PPLX 2^7.56 = 188.3
