17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER 218: d0 = 0.431; d1 = 0.705; d2 = 0.686; PPLX 2^6.89 = 118.2
ITER 219: d0 = 0.316; d1 = 0.681; d2 = 0.669; PPLX 2^6.89 = 118.8
ITER 220: d0 = 0.378; d1 = 0.659; d2 = 0.662; PPLX 2^6.90 = 119.0
ITER 221: d0 = 0.306; d1 = 0.651; d2 = 0.672; PPLX 2^6.89 = 118.7
ITER 222: d0 = 0.278; d1 = 0.650; d2 = 0.695; PPLX 2^6.88 = 118.1
ITER 223: d0 = 0.290; d1 = 0.660; d2 = 0.677; PPLX 2^6.89 = 118.5
ITER 224: d0 = 0.301; d1 = 0.671; d2 = 0.684; PPLX 2^6.89 = 118.3
ITER 225: d0 = 0.277; d1 = 0.673; d2 = 0.669; PPLX 2^6.89 = 118.7
ITER 226: d0 = 0.333; d1 = 0.673; d2 = 0.663; PPLX 2^6.89 = 119.0
ITER 227: d0 = 0.268; d1 = 0.681; d2 = 0.698; PPLX 2^6.88 = 117.9
ITER 228: d0 = 0.306; d1 = 0.675; d2 = 0.696; PPLX 2^6.88 = 118.0
ITER 229: d0 = 0.310; d1 = 0.677; d2 = 0.677; PPLX 2^6.89 = 118.5
ITER 230: d0 = 0.330; d1 = 0.678; d2 = 0.682; PPLX 2^6.89 = 118.4
ITER 231: d0 = 0.276; d1 = 0.664; d2 = 0.684; PPLX 2^6.89 = 118.4
ITER 232: d0 = 0.294; d1 = 0.663; d2 = 0.696; PPLX 2^6.88 = 118.0
ITER 233: d0 = 0.277; d1 = 0.640; d2 = 0.670; PPLX 2^6.89 = 118.8
ITER 234: d0 = 0.297; d1 = 0.663; d2 = 0.671; PPLX 2^6.89 = 118.7
ITER 235: d0 = 0.271; d1 = 0.683; d2 = 0.685; PPLX 2^6.89 = 118.3
ITER 236: d0 = 0.510; d1 = 0.651; d2 = 0.656; PPLX 2^6.90 = 119.2
ITER 237: d0 = 0.269; d1 = 0.664; d2 = 0.675; PPLX 2^6.89 = 118.6
ITER 238: d0 = 0.289; d1 = 0.662; d2 = 0.679; PPLX 2^6.89 = 118.5
ITER 239: d0 = 0.289; d1 = 0.694; d2 = 0.664; PPLX 2^6.89 = 118.9
ITER 240: d0 = 0.300; d1 = 0.647; d2 = 0.674; PPLX 2^6.89 = 118.7
ITER 241: d0 = 0.429; d1 = 0.689; d2 = 0.675; PPLX 2^6.89 = 118.6
ITER 242: d0 = 0.399; d1 = 0.649; d2 = 0.668; PPLX 2^6.89 = 118.9
ITER 243: d0 = 0.481; d1 = 0.668; d2 = 0.685; PPLX 2^6.89 = 118.3
ITER 244: d0 = 0.261; d1 = 0.701; d2 = 0.668; PPLX 2^6.89 = 118.8
ITER 245: d0 = 0.427; d1 = 0.645; d2 = 0.668; PPLX 2^6.89 = 118.9
ITER 246: d0 = 0.373; d1 = 0.670; d2 = 0.664; PPLX 2^6.89 = 118.9
ITER 247: d0 = 0.272; d1 = 0.656; d2 = 0.645; PPLX 2^6.90 = 119.6
ITER 248: d0 = 0.270; d1 = 0.674; d2 = 0.668; PPLX 2^6.89 = 118.8
ITER 249: d0 = 0.323; d1 = 0.680; d2 = 0.651; PPLX 2^6.90 = 119.3
ITER 250: d0 = 0.321; d1 = 0.666; d2 = 0.658; PPLX 2^6.90 = 119.2
ITER 251: d0 = 0.413; d1 = 0.700; d2 = 0.684; PPLX 2^6.89 = 118.3
ITER 252: d0 = 0.293; d1 = 0.688; d2 = 0.689; PPLX 2^6.89 = 118.2
ITER 253: d0 = 0.435; d1 = 0.659; d2 = 0.667; PPLX 2^6.89 = 118.9
ITER 254: d0 = 0.488; d1 = 0.686; d2 = 0.654; PPLX 2^6.90 = 119.2
