14502 (out of 400168) words in dict
360634 training, 39534 testing
136394 restaurants created
204.452kB of test data
ITER 143: d0 = 0.747; d1 = 0.818; d2 = 0.902; PPLX 2^7.47 = 177.1
ITER 144: d0 = 0.739; d1 = 0.847; d2 = 0.882; PPLX 2^7.47 = 177.9
ITER 145: d0 = 0.645; d1 = 0.831; d2 = 0.904; PPLX 2^7.47 = 177.6
ITER 146: d0 = 0.664; d1 = 0.789; d2 = 0.907; PPLX 2^7.46 = 176.3
ITER 147: d0 = 0.728; d1 = 0.822; d2 = 0.901; PPLX 2^7.47 = 177.0
ITER 148: d0 = 0.704; d1 = 0.806; d2 = 0.883; PPLX 2^7.46 = 176.5
ITER 149: d0 = 0.671; d1 = 0.840; d2 = 0.899; PPLX 2^7.48 = 178.2
ITER 150: d0 = 0.724; d1 = 0.784; d2 = 0.884; PPLX 2^7.46 = 176.0
ITER 151: d0 = 0.726; d1 = 0.815; d2 = 0.888; PPLX 2^7.46 = 176.6
ITER 152: d0 = 0.629; d1 = 0.819; d2 = 0.895; PPLX 2^7.47 = 177.4
ITER 153: d0 = 0.639; d1 = 0.791; d2 = 0.881; PPLX 2^7.46 = 176.0
ITER 154: d0 = 0.696; d1 = 0.839; d2 = 0.900; PPLX 2^7.48 = 177.9
ITER 155: d0 = 0.738; d1 = 0.829; d2 = 0.887; PPLX 2^7.47 = 177.2
ITER 156: d0 = 0.640; d1 = 0.827; d2 = 0.881; PPLX 2^7.47 = 177.3
ITER 157: d0 = 0.735; d1 = 0.808; d2 = 0.900; PPLX 2^7.47 = 177.4
ITER 158: d0 = 0.695; d1 = 0.848; d2 = 0.892; PPLX 2^7.48 = 178.4
ITER 159: d0 = 0.738; d1 = 0.800; d2 = 0.910; PPLX 2^7.47 = 177.2
ITER 160: d0 = 0.771; d1 = 0.791; d2 = 0.886; PPLX 2^7.46 = 176.4
ITER 161: d0 = 0.666; d1 = 0.789; d2 = 0.909; PPLX 2^7.47 = 176.7
ITER 162: d0 = 0.738; d1 = 0.817; d2 = 0.904; PPLX 2^7.47 = 177.4
ITER 163: d0 = 0.732; d1 = 0.844; d2 = 0.894; PPLX 2^7.48 = 178.3
ITER 164: d0 = 0.664; d1 = 0.805; d2 = 0.884; PPLX 2^7.47 = 177.0
ITER 165: d0 = 0.688; d1 = 0.787; d2 = 0.898; PPLX 2^7.46 = 176.5
ITER 166: d0 = 0.651; d1 = 0.793; d2 = 0.894; PPLX 2^7.46 = 176.7
ITER 167: d0 = 0.720; d1 = 0.789; d2 = 0.884; PPLX 2^7.46 = 176.3
ITER 168: d0 = 0.754; d1 = 0.836; d2 = 0.883; PPLX 2^7.47 = 177.8
ITER 169: d0 = 0.661; d1 = 0.802; d2 = 0.900; PPLX 2^7.47 = 176.9
ITER 170: d0 = 0.668; d1 = 0.789; d2 = 0.897; PPLX 2^7.46 = 176.2
ITER 171: d0 = 0.632; d1 = 0.798; d2 = 0.889; PPLX 2^7.47 = 176.7
ITER 172: d0 = 0.707; d1 = 0.802; d2 = 0.903; PPLX 2^7.47 = 176.8
ITER 173: d0 = 0.667; d1 = 0.790; d2 = 0.897; PPLX 2^7.46 = 176.2
ITER 174: d0 = 0.665; d1 = 0.790; d2 = 0.901; PPLX 2^7.46 = 176.6
ITER 175: d0 = 0.680; d1 = 0.833; d2 = 0.881; PPLX 2^7.47 = 177.7
ITER 176: d0 = 0.729; d1 = 0.802; d2 = 0.881; PPLX 2^7.46 = 176.1
ITER 177: d0 = 0.637; d1 = 0.832; d2 = 0.906; PPLX 2^7.48 = 178.2
ITER 178: d0 = 0.674; d1 = 0.803; d2 = 0.909; PPLX 2^7.47 = 177.3
ITER 179: d0 = 0.701; d1 = 0.796; d2 = 0.888; PPLX 2^7.46 = 176.3
ITER 180: d0 = 0.772; d1 = 0.791; d2 = 0.905; PPLX 2^7.46 = 176.1
ITER 181: d0 = 0.652; d1 = 0.838; d2 = 0.879; PPLX 2^7.47 = 177.9
ITER 182: d0 = 0.687; d1 = 0.821; d2 = 0.904; PPLX 2^7.47 = 177.4
ITER 183: d0 = 0.707; d1 = 0.798; d2 = 0.878; PPLX 2^7.46 = 176.2
ITER 184: d0 = 0.672; d1 = 0.829; d2 = 0.880; PPLX 2^7.47 = 177.6
ITER 185: d0 = 0.700; d1 = 0.830; d2 = 0.878; PPLX 2^7.47 = 177.2
ITER 186: d0 = 0.677; d1 = 0.821; d2 = 0.907; PPLX 2^7.47 = 177.2
ITER 187: d0 = 0.764; d1 = 0.842; d2 = 0.907; PPLX 2^7.48 = 178.2
ITER 188: d0 = 0.649; d1 = 0.808; d2 = 0.882; PPLX 2^7.47 = 176.8
ITER 189: d0 = 0.763; d1 = 0.822; d2 = 0.885; PPLX 2^7.47 = 177.2
ITER 190: d0 = 0.720; d1 = 0.809; d2 = 0.898; PPLX 2^7.47 = 176.8
ITER 191: d0 = 0.703; d1 = 0.833; d2 = 0.883; PPLX 2^7.47 = 177.8
ITER 192: d0 = 0.761; d1 = 0.813; d2 = 0.880; PPLX 2^7.47 = 177.2
ITER 193: d0 = 0.637; d1 = 0.786; d2 = 0.880; PPLX 2^7.46 = 176.2
ITER 194: d0 = 0.680; d1 = 0.804; d2 = 0.895; PPLX 2^7.47 = 176.9
ITER 195: d0 = 0.710; d1 = 0.815; d2 = 0.886; PPLX 2^7.47 = 177.0
ITER 196: d0 = 0.650; d1 = 0.821; d2 = 0.886; PPLX 2^7.47 = 177.1
ITER 197: d0 = 0.643; d1 = 0.787; d2 = 0.897; PPLX 2^7.46 = 176.4
ITER 198: d0 = 0.701; d1 = 0.816; d2 = 0.884; PPLX 2^7.47 = 177.1
ITER 199: d0 = 0.647; d1 = 0.827; d2 = 0.892; PPLX 2^7.47 = 177.8
ITER 200: d0 = 0.703; d1 = 0.820; d2 = 0.896; PPLX 2^7.47 = 177.3
ITER 201: d0 = 0.669; d1 = 0.813; d2 = 0.888; PPLX 2^7.47 = 177.1
ITER 202: d0 = 0.660; d1 = 0.789; d2 = 0.885; PPLX 2^7.46 = 176.4
ITER 203: d0 = 0.658; d1 = 0.803; d2 = 0.903; PPLX 2^7.47 = 176.9
ITER 204: d0 = 0.681; d1 = 0.822; d2 = 0.901; PPLX 2^7.47 = 177.6
ITER 205: d0 = 0.751; d1 = 0.828; d2 = 0.896; PPLX 2^7.47 = 177.8
ITER 206: d0 = 0.635; d1 = 0.804; d2 = 0.895; PPLX 2^7.47 = 176.9
ITER 207: d0 = 0.712; d1 = 0.813; d2 = 0.892; PPLX 2^7.47 = 176.9
ITER 208: d0 = 0.683; d1 = 0.813; d2 = 0.883; PPLX 2^7.47 = 176.9
ITER 209: d0 = 0.646; d1 = 0.848; d2 = 0.901; PPLX 2^7.48 = 178.4
ITER 210: d0 = 0.745; d1 = 0.823; d2 = 0.901; PPLX 2^7.47 = 177.3
ITER 211: d0 = 0.637; d1 = 0.838; d2 = 0.903; PPLX 2^7.48 = 178.1
ITER 212: d0 = 0.638; d1 = 0.819; d2 = 0.890; PPLX 2^7.47 = 177.3
ITER 213: d0 = 0.752; d1 = 0.787; d2 = 0.902; PPLX 2^7.46 = 175.9
ITER 214: d0 = 0.767; d1 = 0.811; d2 = 0.882; PPLX 2^7.46 = 176.6
ITER 215: d0 = 0.655; d1 = 0.827; d2 = 0.877; PPLX 2^7.47 = 177.2
ITER 216: d0 = 0.684; d1 = 0.831; d2 = 0.885; PPLX 2^7.47 = 177.2
ITER 217: d0 = 0.704; d1 = 0.849; d2 = 0.897; PPLX 2^7.48 = 178.4
