17964 (out of 15920737) words in dict
14957666 training, 963071 testing
7196429 restaurants created
6032.09kB of test data
ITER 187: d0 = 0.365; d1 = 0.699; d2 = 0.773; d3 = 0.678; PPLX 2^6.79 = 111.0
ITER 188: d0 = 0.399; d1 = 0.654; d2 = 0.766; d3 = 0.673; PPLX 2^6.80 = 111.4
ITER 189: d0 = 0.485; d1 = 0.695; d2 = 0.761; d3 = 0.696; PPLX 2^6.79 = 110.6
ITER 190: d0 = 0.277; d1 = 0.667; d2 = 0.765; d3 = 0.664; PPLX 2^6.80 = 111.7
ITER 191: d0 = 0.295; d1 = 0.662; d2 = 0.757; d3 = 0.656; PPLX 2^6.81 = 112.2
ITER 192: d0 = 0.267; d1 = 0.670; d2 = 0.772; d3 = 0.679; PPLX 2^6.79 = 111.0
ITER 193: d0 = 0.429; d1 = 0.699; d2 = 0.749; d3 = 0.686; PPLX 2^6.80 = 111.2
ITER 194: d0 = 0.321; d1 = 0.676; d2 = 0.768; d3 = 0.687; PPLX 2^6.79 = 110.8
ITER 195: d0 = 0.362; d1 = 0.676; d2 = 0.767; d3 = 0.671; PPLX 2^6.80 = 111.4
ITER 196: d0 = 0.269; d1 = 0.663; d2 = 0.768; d3 = 0.674; PPLX 2^6.80 = 111.3
ITER 197: d0 = 0.296; d1 = 0.649; d2 = 0.770; d3 = 0.685; PPLX 2^6.79 = 110.9
ITER 198: d0 = 0.518; d1 = 0.664; d2 = 0.773; d3 = 0.674; PPLX 2^6.80 = 111.2
ITER 199: d0 = 0.478; d1 = 0.676; d2 = 0.768; d3 = 0.669; PPLX 2^6.80 = 111.4
ITER 200: d0 = 0.434; d1 = 0.633; d2 = 0.767; d3 = 0.662; PPLX 2^6.80 = 111.8
ITER 201: d0 = 0.349; d1 = 0.678; d2 = 0.763; d3 = 0.688; PPLX 2^6.79 = 110.9
ITER 202: d0 = 0.316; d1 = 0.681; d2 = 0.753; d3 = 0.665; PPLX 2^6.81 = 111.9
ITER 203: d0 = 0.294; d1 = 0.631; d2 = 0.776; d3 = 0.690; PPLX 2^6.79 = 110.7
ITER 204: d0 = 0.310; d1 = 0.652; d2 = 0.766; d3 = 0.660; PPLX 2^6.81 = 111.9
ITER 205: d0 = 0.291; d1 = 0.653; d2 = 0.759; d3 = 0.659; PPLX 2^6.81 = 112.1
ITER 206: d0 = 0.287; d1 = 0.682; d2 = 0.777; d3 = 0.669; PPLX 2^6.80 = 111.3
ITER 207: d0 = 0.518; d1 = 0.662; d2 = 0.759; d3 = 0.677; PPLX 2^6.80 = 111.4
ITER 208: d0 = 0.398; d1 = 0.657; d2 = 0.759; d3 = 0.680; PPLX 2^6.80 = 111.3
ITER 209: d0 = 0.284; d1 = 0.661; d2 = 0.766; d3 = 0.663; PPLX 2^6.80 = 111.8
ITER 210: d0 = 0.311; d1 = 0.687; d2 = 0.754; d3 = 0.696; PPLX 2^6.79 = 110.8
ITER 211: d0 = 0.298; d1 = 0.647; d2 = 0.748; d3 = 0.676; PPLX 2^6.80 = 111.7
ITER 212: d0 = 0.304; d1 = 0.637; d2 = 0.750; d3 = 0.664; PPLX 2^6.81 = 112.1
ITER 213: d0 = 0.285; d1 = 0.667; d2 = 0.758; d3 = 0.678; PPLX 2^6.80 = 111.3
ITER 214: d0 = 0.267; d1 = 0.650; d2 = 0.755; d3 = 0.678; PPLX 2^6.80 = 111.4
ITER 215: d0 = 0.315; d1 = 0.664; d2 = 0.759; d3 = 0.660; PPLX 2^6.81 = 112.0
ITER 216: d0 = 0.306; d1 = 0.651; d2 = 0.754; d3 = 0.676; PPLX 2^6.80 = 111.5
ITER 217: d0 = 0.501; d1 = 0.659; d2 = 0.771; d3 = 0.674; PPLX 2^6.80 = 111.2
ITER 218: d0 = 0.266; d1 = 0.649; d2 = 0.772; d3 = 0.678; PPLX 2^6.80 = 111.1
ITER 219: d0 = 0.334; d1 = 0.696; d2 = 0.762; d3 = 0.665; PPLX 2^6.80 = 111.6
ITER 220: d0 = 0.325; d1 = 0.674; d2 = 0.761; d3 = 0.667; PPLX 2^6.80 = 111.6
ITER 221: d0 = 0.270; d1 = 0.690; d2 = 0.773; d3 = 0.681; PPLX 2^6.79 = 110.9
ITER 222: d0 = 0.374; d1 = 0.683; d2 = 0.745; d3 = 0.696; PPLX 2^6.79 = 111.0
ITER 223: d0 = 0.364; d1 = 0.655; d2 = 0.757; d3 = 0.684; PPLX 2^6.80 = 111.2
ITER 224: d0 = 0.285; d1 = 0.678; d2 = 0.764; d3 = 0.692; PPLX 2^6.79 = 110.7
ITER 225: d0 = 0.331; d1 = 0.702; d2 = 0.758; d3 = 0.667; PPLX 2^6.80 = 111.7
ITER 226: d0 = 0.322; d1 = 0.674; d2 = 0.763; d3 = 0.686; PPLX 2^6.79 = 111.0
ITER 227: d0 = 0.282; d1 = 0.675; d2 = 0.780; d3 = 0.679; PPLX 2^6.79 = 110.8
ITER 228: d0 = 0.286; d1 = 0.681; d2 = 0.758; d3 = 0.651; PPLX 2^6.81 = 112.3
ITER 229: d0 = 0.271; d1 = 0.666; d2 = 0.762; d3 = 0.665; PPLX 2^6.80 = 111.7
ITER 230: d0 = 0.313; d1 = 0.644; d2 = 0.753; d3 = 0.667; PPLX 2^6.81 = 111.9
ITER 231: d0 = 0.381; d1 = 0.676; d2 = 0.750; d3 = 0.679; PPLX 2^6.80 = 111.5
ITER 232: d0 = 0.514; d1 = 0.688; d2 = 0.773; d3 = 0.665; PPLX 2^6.80 = 111.4
