58714 (out of 1561360) words in dict
1521826 training, 39534 testing
587155 restaurants created
204.452kB of test data
ITER 185: d0 = 0.712; d1 = 0.804; d2 = 0.903; PPLX 2^7.57 = 190.6
ITER 186: d0 = 0.684; d1 = 0.798; d2 = 0.906; PPLX 2^7.57 = 190.3
ITER 187: d0 = 0.656; d1 = 0.804; d2 = 0.915; PPLX 2^7.58 = 190.8
ITER 188: d0 = 0.681; d1 = 0.799; d2 = 0.901; PPLX 2^7.57 = 190.7
ITER 189: d0 = 0.779; d1 = 0.801; d2 = 0.904; PPLX 2^7.57 = 190.6
ITER 190: d0 = 0.697; d1 = 0.850; d2 = 0.903; PPLX 2^7.59 = 192.5
ITER 191: d0 = 0.765; d1 = 0.842; d2 = 0.900; PPLX 2^7.59 = 192.4
ITER 192: d0 = 0.675; d1 = 0.813; d2 = 0.895; PPLX 2^7.58 = 190.8
ITER 193: d0 = 0.718; d1 = 0.802; d2 = 0.907; PPLX 2^7.58 = 190.7
ITER 194: d0 = 0.690; d1 = 0.830; d2 = 0.893; PPLX 2^7.58 = 190.9
ITER 195: d0 = 0.648; d1 = 0.845; d2 = 0.893; PPLX 2^7.59 = 192.3
ITER 196: d0 = 0.697; d1 = 0.807; d2 = 0.908; PPLX 2^7.58 = 191.1
ITER 197: d0 = 0.651; d1 = 0.850; d2 = 0.895; PPLX 2^7.58 = 192.0
ITER 198: d0 = 0.753; d1 = 0.827; d2 = 0.892; PPLX 2^7.58 = 191.6
ITER 199: d0 = 0.704; d1 = 0.799; d2 = 0.895; PPLX 2^7.57 = 190.5
ITER 200: d0 = 0.680; d1 = 0.799; d2 = 0.901; PPLX 2^7.57 = 190.4
ITER 201: d0 = 0.698; d1 = 0.814; d2 = 0.894; PPLX 2^7.57 = 190.6
ITER 202: d0 = 0.675; d1 = 0.828; d2 = 0.921; PPLX 2^7.59 = 192.3
ITER 203: d0 = 0.708; d1 = 0.823; d2 = 0.897; PPLX 2^7.58 = 191.4
ITER 204: d0 = 0.710; d1 = 0.847; d2 = 0.907; PPLX 2^7.59 = 192.4
ITER 205: d0 = 0.676; d1 = 0.842; d2 = 0.907; PPLX 2^7.59 = 192.7
ITER 206: d0 = 0.667; d1 = 0.818; d2 = 0.903; PPLX 2^7.58 = 190.9
ITER 207: d0 = 0.699; d1 = 0.805; d2 = 0.891; PPLX 2^7.57 = 190.3
ITER 208: d0 = 0.754; d1 = 0.831; d2 = 0.894; PPLX 2^7.58 = 191.5
ITER 209: d0 = 0.670; d1 = 0.834; d2 = 0.892; PPLX 2^7.58 = 191.5
